LeadSource,JobRole,ContactNotes,LeadProfile,UsedPromo,DoNotReachOut,Region,Converted,Lead_ProspectID
Event,Operations,NeedsCaseStudy,Medium,UsedPromo,FALSE,EMEA,1,64deb97e-72d4-4e44-8b9b-95bf297911fb
Event,Management,NeedsTraining,Large,UsedPromo,FALSE,APAC,1,437c8bca-8890-43fc-86dc-f1f273f0f9ac
Digital Ad,HR,ContentPresentation,Small,UsedPromo,TRUE,APAC,1,17986a67-4063-471c-8881-303147e0b1f4
Cold Uutbound,Finance,ContentPresentation,Small,NoPromo,TRUE,NAMER,0,608fd60a-ad96-4d91-8e44-61eee433b886
Digital Ad,HR,FeatureRequest,Large,NoPromo,TRUE,APAC,0,30a212c0-1c1a-49d8-ba48-3e8beede921c
Organic,Marketing,FeatureRequest,Small,NoPromo,FALSE,APAC,1,8c628dbb-99ac-4f5e-9316-e2b11bf0d405
Event,Finance,NeedsTraining,Small,UsedPromo,FALSE,APAC,1,1e52ae08-9ac0-48bc-8f22-3ccab10a6763
Organic,Finance,ContentPresentation,Large,UsedPromo,TRUE,LATAM,0,b8204e39-13b2-4200-808a-705f1f7e4bf5
Organic,Management,NeedsTraining,Small,UsedPromo,FALSE,LATAM,1,04c76701-8893-4821-9c57-fa435e5c83a6
Referral,Management,NeedsTraining,Medium,NoPromo,TRUE,APAC,0,1069bd19-13bd-41e3-b650-3e6fa02c77e9
Digital Ad,Management,FeatureRequest,Medium,UsedPromo,TRUE,NAMER,1,1179daa1-0d19-4150-ae36-149484591e17
Organic,Engineering,ContentPresentation,Medium,NoPromo,FALSE,APAC,0,5287d83c-bcad-4944-ab3c-ae5040ec93df
Referral, Sales,FeatureRequest,Small,UsedPromo,TRUE,EMEA,1,221c7b38-c866-48ab-92c3-d57df213cb5d
Cold Uutbound,Finance,NeedsTraining,Medium,UsedPromo,TRUE,APAC,0,7c034c9b-b9d7-48ed-bb90-a70fa5528b74
Organic,Marketing,NeedsCaseStudy,Large,UsedPromo,TRUE,NAMER,1,0df5c19a-84f6-4fd4-8043-7496d5857003
Event,Operations,NeedsTraining,Medium,UsedPromo,TRUE,APAC,1,ae29575c-8069-47c8-996a-d528636705ba
Event,Engineering,NeedsTraining,Large,NoPromo,TRUE,NAMER,1,958d63e7-5ad7-49f5-913a-cc5c099f53b6
Digital Ad,Finance,NeedsTraining,Medium,NoPromo,TRUE,NAMER,0,7b2d09f6-d614-4176-bc29-48b105ddd3c8
Event,Operations,NeedsTraining,Small,NoPromo,FALSE,APAC,1,a6165a8a-b054-4bb1-94ee-c5be67981480
Organic, Sales,ContentPresentation,Small,UsedPromo,TRUE,NAMER,1,ef347bb2-8d2a-4f1d-b2e6-4c928cd018b0
Cold Uutbound,Finance,FeatureRequest,Small,UsedPromo,TRUE,LATAM,0,2e982336-3f2d-4906-a377-4324a1a7be35
Cold Uutbound,Finance,NeedsTraining,Small,NoPromo,TRUE,APAC,0,ce7477c8-d721-4516-bde0-63f8a3953a6b
Organic,Operations,NeedsTraining,Large,UsedPromo,FALSE,LATAM,0,399379be-da4a-4aa1-94eb-3edec59c40c3
Cold Uutbound,Operations,FeatureRequest,Large,NoPromo,FALSE,EMEA,0,ed010850-3ab9-41b4-9905-5b3a9d2077be
Organic,Engineering,FeatureRequest,Small,NoPromo,TRUE,APAC,1,bdcda634-e028-4d8e-ba54-56168a1f839d
Digital Ad, Sales,FeatureRequest,Small,NoPromo,FALSE,APAC,0,32e06f81-aa5f-4462-8f47-ddf0e67614d1
Digital Ad,HR,NeedsTraining,Medium,UsedPromo,FALSE,NAMER,1,6f402cdb-b12e-4258-9477-9d18a1370c19
Cold Uutbound,Marketing,NeedsCaseStudy,Large,UsedPromo,TRUE,NAMER,0,3a018994-9791-46f8-b11b-1a96608908e3
Organic,Engineering,ContentPresentation,Large,NoPromo,TRUE,EMEA,0,bd30768a-054b-4925-9cf3-f52f7592e8ff
Referral,Marketing,FeatureRequest,Medium,UsedPromo,TRUE,EMEA,0,b9c73ce4-ab36-43c9-8846-d8cfcec05e02
Event,HR,ContentPresentation,Large,NoPromo,FALSE,NAMER,0,35c256a4-8719-4649-a1c0-fe6b73bfeaf1
Referral, Sales,NeedsCaseStudy,Medium,UsedPromo,FALSE,APAC,0,77bf6a81-9c33-4ba4-8430-52a62cafd405
Cold Uutbound,Marketing,NeedsTraining,Medium,UsedPromo,TRUE,NAMER,1,45b616a5-75b6-4616-98c5-990718bb0ae3
Referral,Finance,ContentPresentation,Large,UsedPromo,FALSE,APAC,0,271eddd5-c672-4105-b343-f817ae0a5660
Digital Ad, Sales,FeatureRequest,Small,UsedPromo,FALSE,LATAM,0,5f1a4307-467e-469b-8e5f-b5507541420f
Digital Ad,Operations,NeedsTraining,Large,NoPromo,TRUE,EMEA,0,208f66a9-28f3-4a67-96f6-f70fe71db806
Referral,Marketing,FeatureRequest,Medium,NoPromo,FALSE,APAC,1,26eb1ea4-5a17-4451-b0bd-b055611f4804
Cold Uutbound, Sales,FeatureRequest,Small,NoPromo,TRUE,EMEA,1,e7c6f8ef-99f8-46a8-ae7d-48548a112f7f
Organic, Sales,FeatureRequest,Medium,NoPromo,TRUE,NAMER,1,573e5f59-16fd-4378-ab57-9ebf8cb52049
Referral,Operations,NeedsTraining,Medium,UsedPromo,FALSE,LATAM,1,86ca1970-f5f3-4403-9ca5-d936ddb0e642
Organic,Marketing,FeatureRequest,Small,UsedPromo,TRUE,LATAM,1,2e024d2d-3d15-42af-8cca-06135d60003d
Event, Sales,ContentPresentation,Large,UsedPromo,FALSE,LATAM,0,f4638e63-a421-41cc-9fad-e9662bb67eea
Digital Ad,HR,NeedsCaseStudy,Medium,UsedPromo,TRUE,EMEA,1,96535d09-a924-4cfe-a1e9-1012102d8811
Referral,Management,NeedsCaseStudy,Medium,UsedPromo,FALSE,NAMER,1,87d6bba1-373c-409d-b4be-9d918da6c256
Digital Ad,HR,ContentPresentation,Large,NoPromo,TRUE,LATAM,0,8f6f3f96-0902-4731-96a9-2dfed624675e
Cold Uutbound,Finance,FeatureRequest,Medium,UsedPromo,FALSE,EMEA,0,f104864b-7953-4a65-8b62-d0227a880f72
Cold Uutbound,Management,NeedsCaseStudy,Small,UsedPromo,TRUE,LATAM,1,ddf2d300-50bf-4e42-93a3-364b2d74f32e
Organic,Operations,NeedsCaseStudy,Small,UsedPromo,TRUE,LATAM,1,5115fcb0-a919-4d96-b2a6-23b653f9a375
Referral, Sales,ContentPresentation,Large,NoPromo,FALSE,APAC,0,8f596f30-ff85-414d-bd9e-97647e9e6a13
Organic, Sales,FeatureRequest,Large,NoPromo,FALSE,NAMER,0,b51a1546-9977-4907-ad5e-23cdd84d4b53
Organic,Engineering,NeedsTraining,Large,NoPromo,FALSE,EMEA,1,676c2569-e219-4e4b-af86-c06a9ed0583a
Cold Uutbound,Management,NeedsCaseStudy,Medium,UsedPromo,FALSE,EMEA,1,428f3254-40aa-43b6-b48d-d1dca3937760
Cold Uutbound,Finance,NeedsTraining,Large,NoPromo,FALSE,LATAM,0,8c3cce36-74d4-4487-999c-de7c93e1889e
Organic,HR,ContentPresentation,Small,NoPromo,TRUE,LATAM,0,f430b311-f5db-4342-b9a4-93d7dc820b6d
Event,HR,FeatureRequest,Small,NoPromo,TRUE,NAMER,1,ab75ef47-e23d-4235-be05-8bd1d06ef7ec
Event,Management,ContentPresentation,Medium,NoPromo,FALSE,LATAM,0,5c2fc6bd-dea9-45e7-bc93-84a051c71c12
Referral,Finance,FeatureRequest,Medium,NoPromo,FALSE,APAC,1,717ee332-4e6d-4f36-bbc3-9a38399f9bc8
Event,Marketing,NeedsTraining,Large,NoPromo,FALSE,EMEA,0,a7b04ce5-64cf-4916-b397-d86cb09435d9
Cold Uutbound,Management,ContentPresentation,Large,UsedPromo,TRUE,LATAM,1,20ecd9b5-c69f-43cd-83f7-634b578bfd33
Referral,Management,FeatureRequest,Small,UsedPromo,TRUE,APAC,0,cc05eafe-1fdf-4f91-abe7-fb4fcbd6b355
Organic,Engineering,FeatureRequest,Medium,NoPromo,FALSE,NAMER,0,89e59b88-eb33-439e-a93a-85e3b42e7756
Digital Ad,Management,NeedsTraining,Small,UsedPromo,TRUE,EMEA,1,3794a966-d4e8-4207-a379-2cfd6b229b5d
Referral,Finance,NeedsCaseStudy,Small,UsedPromo,TRUE,EMEA,1,265874c4-06a0-405c-b3d8-371521265761
Event, Sales,ContentPresentation,Large,NoPromo,TRUE,LATAM,0,320f587f-20e6-4090-9c0c-d7dd7a81a299
Cold Uutbound,Engineering,FeatureRequest,Medium,NoPromo,TRUE,LATAM,0,d8e66c82-d7b4-427b-9a94-3ac6f44e5281
Referral,HR,ContentPresentation,Small,NoPromo,TRUE,EMEA,1,490e6de5-9642-4b22-96ac-0627e7391898
Cold Uutbound,HR,FeatureRequest,Medium,UsedPromo,TRUE,LATAM,0,824ffa87-d1a5-4292-8a6e-55eb2f6460b9
Event,Management,FeatureRequest,Small,UsedPromo,TRUE,APAC,1,d6bfe5f3-d613-4d39-a171-20ffd15af874
Referral,Finance,NeedsCaseStudy,Large,NoPromo,FALSE,APAC,0,00eb66a6-364f-4446-9c6a-5c281c79c829
Cold Uutbound,Operations,FeatureRequest,Small,NoPromo,TRUE,EMEA,0,62c498ab-2f32-4d36-b29d-9d3899661e0a
Digital Ad,Operations,NeedsTraining,Medium,UsedPromo,FALSE,APAC,1,188bd3c7-f109-477e-b5d2-3d99bd38cee2
Organic,Management,ContentPresentation,Large,NoPromo,FALSE,EMEA,0,c2ccd62d-aca7-4fea-8300-a46411f7e448
Digital Ad, Sales,NeedsTraining,Medium,NoPromo,TRUE,APAC,0,63d37502-2ea9-4b66-8c7c-21e983a38180
Referral,Management,NeedsCaseStudy,Large,UsedPromo,TRUE,APAC,0,f9071868-0f6d-4047-9f92-acc93b9a94c4
Referral,HR,NeedsCaseStudy,Medium,UsedPromo,TRUE,EMEA,0,52fd9b6f-ecca-4939-a93f-bc4ee7819dc7
Digital Ad,HR,ContentPresentation,Large,NoPromo,FALSE,EMEA,0,c4ba3d11-6201-4e6c-935e-0398d2e402a5
Event, Sales,FeatureRequest,Small,NoPromo,FALSE,NAMER,0,0054d10d-d6ec-41f8-9387-a6a06a3451fa
Referral,Finance,FeatureRequest,Small,NoPromo,FALSE,LATAM,0,11fc7953-62a7-4952-9af5-1ecfde75855b
Organic,HR,NeedsTraining,Small,UsedPromo,FALSE,LATAM,1,dcdff441-06f8-45b2-b03a-c0aa9da5f113
Event,Management,FeatureRequest,Small,UsedPromo,FALSE,NAMER,1,d60a4588-527e-45c7-ae56-088ea3d09896
Referral,Marketing,NeedsTraining,Medium,NoPromo,TRUE,LATAM,0,f1c3a155-3318-480b-865c-a256a88e4ad1
Organic, Sales,FeatureRequest,Medium,NoPromo,TRUE,LATAM,1,ea8ddfae-ae1d-4e3d-804a-21ae146c610c
Referral,Management,FeatureRequest,Small,UsedPromo,FALSE,EMEA,1,fded2457-311c-4e3b-bb65-416ad1521d0a
Organic,Finance,NeedsTraining,Large,NoPromo,TRUE,NAMER,0,9b22ae1a-c71f-4016-b8be-4eb06746a673
Organic,Operations,NeedsTraining,Large,UsedPromo,TRUE,LATAM,0,9a87d183-bdc3-400a-b8df-c1c06741ca93
Digital Ad,Engineering,ContentPresentation,Large,NoPromo,FALSE,APAC,0,0c050be2-bead-48af-a738-6f1930f6d144
Referral, Sales,NeedsTraining,Small,UsedPromo,TRUE,APAC,1,bb7ecf5c-0a32-4f83-8ccb-46314a5936a6
Organic,Management,NeedsCaseStudy,Large,NoPromo,FALSE,LATAM,1,cc61b325-1e35-4d9d-8923-30c9530ffabe
Event, Sales,NeedsTraining,Medium,UsedPromo,TRUE,EMEA,1,7885f282-b96f-4f5e-9291-486b4df3e1df
Referral,Management,NeedsTraining,Small,UsedPromo,FALSE,APAC,1,347197b3-fe46-4684-ab7c-1cb9a82b6223
Digital Ad,Operations,NeedsTraining,Large,UsedPromo,FALSE,APAC,1,d68a41d6-72ec-4258-a822-aa28dd7fcb90
Event,Operations,FeatureRequest,Large,NoPromo,TRUE,APAC,0,738e2893-6e2d-422f-ad8c-b733090884f3
Digital Ad,Marketing,NeedsCaseStudy,Medium,NoPromo,TRUE,APAC,0,ac659c9f-07c7-4666-8c1b-691d40f86980
Cold Uutbound, Sales,NeedsTraining,Medium,NoPromo,FALSE,LATAM,0,4b4d1933-b74f-445e-9231-31a63a0b6452
Event,Marketing,NeedsTraining,Medium,UsedPromo,FALSE,LATAM,1,3a2cfa6c-3cf5-4c45-b9d0-c9022e13660c
Event, Sales,NeedsTraining,Medium,UsedPromo,FALSE,EMEA,1,b80a70ce-1570-4f58-b106-25f9bac72cbb
Event,Management,NeedsTraining,Medium,UsedPromo,FALSE,EMEA,0,bbfef80b-e1cf-4762-a4c3-0d5bdd6ee4be
Referral,HR,NeedsCaseStudy,Medium,UsedPromo,FALSE,LATAM,1,10337e48-ae35-4db4-b4f9-17c5ecddfbc2
Referral,Engineering,ContentPresentation,Medium,NoPromo,TRUE,LATAM,0,1507a589-f23c-4494-8582-63d23b034ecb
Referral,Management,ContentPresentation,Large,NoPromo,FALSE,LATAM,0,dcf4ad72-8c13-4d86-ad4b-5ceda1ff0a41
Digital Ad,Finance,NeedsTraining,Medium,UsedPromo,FALSE,NAMER,1,5f8d5d98-cbeb-4bd4-824d-ae9755f5f160
Referral,Operations,ContentPresentation,Small,NoPromo,FALSE,LATAM,1,4456cbe4-5952-430f-82ec-3bfe970a7911
Referral,Engineering,ContentPresentation,Large,NoPromo,FALSE,APAC,1,780bc68a-a8c8-4579-9744-914495de12f3
Referral,HR,ContentPresentation,Medium,UsedPromo,TRUE,EMEA,1,06430d10-0382-462c-a0dd-0cfc3c8af02d
Digital Ad,HR,NeedsCaseStudy,Small,UsedPromo,FALSE,NAMER,1,baba6d77-079c-40c6-8b63-70aebe6a8570
Organic,Marketing,NeedsCaseStudy,Medium,UsedPromo,FALSE,APAC,1,6c201f82-26cc-4d56-8974-30a0a0c71fd1
Organic,Marketing,NeedsTraining,Large,NoPromo,TRUE,EMEA,0,ea960d84-3e19-4365-983f-956f5f7865c0
Event,HR,ContentPresentation,Small,UsedPromo,TRUE,LATAM,1,d905a401-3bd8-4f9d-a02f-feacd9ec329f
Event,Finance,NeedsCaseStudy,Small,UsedPromo,FALSE,LATAM,1,8fe3f501-2445-4e58-bb69-b0db2594986d
Referral,Finance,ContentPresentation,Large,NoPromo,FALSE,NAMER,1,a79fa000-3008-4184-868f-b40a497bfad8
Cold Uutbound,Marketing,ContentPresentation,Large,NoPromo,FALSE,EMEA,0,788fdd17-e6bb-43b4-bf6b-0f765b58b539
Referral, Sales,FeatureRequest,Medium,NoPromo,FALSE,NAMER,0,45e5f58a-836c-4530-a9b5-ac73d28615f1
Cold Uutbound,Engineering,NeedsTraining,Medium,NoPromo,FALSE,NAMER,0,a57fa1c0-99e9-4eff-940a-da1b6107bbcd
Cold Uutbound,HR,NeedsTraining,Medium,NoPromo,TRUE,APAC,0,34a4f58f-33e1-414c-87f3-a34319fef917
Event,Operations,NeedsCaseStudy,Large,NoPromo,FALSE,EMEA,0,0cc89454-8718-4bbb-9ccf-504b93d91e63
Digital Ad,HR,NeedsTraining,Small,UsedPromo,TRUE,NAMER,1,b2a8f6fe-3683-442e-9374-a22f7e9668d1
Cold Uutbound, Sales,ContentPresentation,Large,NoPromo,TRUE,NAMER,0,a7ea5f7a-c0c6-4e38-87a1-a236ab611e8a
Event,HR,FeatureRequest,Medium,NoPromo,TRUE,APAC,1,70d738fa-6cdd-461d-ba2e-e678acfc9dd3
Cold Uutbound,Finance,ContentPresentation,Large,UsedPromo,TRUE,LATAM,1,905cd115-6d71-4342-bbb3-7a85f309f794
Referral,Engineering,NeedsCaseStudy,Medium,UsedPromo,FALSE,APAC,1,b0802b2c-365a-4674-bfac-86c42d8d90a3
Referral,Operations,ContentPresentation,Large,NoPromo,TRUE,NAMER,0,99384c20-de4c-471f-b1dd-e3a8d1d30416
Referral,Operations,ContentPresentation,Large,UsedPromo,FALSE,EMEA,1,b66ae76c-19d4-46a3-91d0-e7fa39ba6108
Digital Ad, Sales,FeatureRequest,Small,NoPromo,TRUE,NAMER,0,d71e7545-2f8c-43ad-baa5-c8cb2083dace
Referral,Operations,FeatureRequest,Small,NoPromo,FALSE,APAC,1,74197954-c1c0-4ca9-affa-25d0b5da7d61
Event,Marketing,FeatureRequest,Small,NoPromo,TRUE,APAC,1,622a0ffc-9eb5-45e5-bfda-3a2b96f0156d
Event,Operations,ContentPresentation,Medium,NoPromo,FALSE,LATAM,0,4556fc51-3b24-4224-a4d0-d992ce1d102b
Digital Ad,Engineering,FeatureRequest,Small,NoPromo,FALSE,EMEA,0,48830ec5-54e1-4960-bb9e-1cc4519ae685
Event,HR,ContentPresentation,Large,NoPromo,FALSE,LATAM,1,6b756ba5-292a-48d9-b41f-d224df3902a3
Event, Sales,NeedsTraining,Small,NoPromo,TRUE,EMEA,0,1ce2d0ec-d18d-4fed-9367-d57c2d5b81cf
Event, Sales,ContentPresentation,Large,UsedPromo,TRUE,NAMER,0,be55062d-e387-4029-86f8-4b6f25ef98cb
Cold Uutbound,Finance,ContentPresentation,Small,UsedPromo,FALSE,EMEA,1,a89a2a9f-cfd0-480a-bca2-2b02d81edccd
Cold Uutbound,Management,NeedsCaseStudy,Medium,NoPromo,FALSE,APAC,0,2bb79790-6e5c-4626-a6cc-49a38f40b574
Event, Sales,NeedsTraining,Medium,NoPromo,TRUE,APAC,0,28833261-2c52-4fbb-9ec8-ba17ba7fefaa
Cold Uutbound,Operations,NeedsCaseStudy,Large,UsedPromo,TRUE,LATAM,0,029aa98c-dd23-4731-ae1a-34e76ea2b0bd
Event,Operations,FeatureRequest,Small,NoPromo,FALSE,NAMER,0,15054411-b055-4885-80b9-76ef77b314eb
Cold Uutbound,Operations,NeedsCaseStudy,Small,UsedPromo,TRUE,APAC,1,238490d8-fe1f-4e29-bd7b-55492c6680a1
Event,Engineering,NeedsTraining,Small,UsedPromo,TRUE,EMEA,1,60b7f4af-02f5-4d07-bfa5-f5683c4ec156
Referral,Finance,ContentPresentation,Medium,NoPromo,FALSE,EMEA,0,0b5d2d3a-5999-43f4-966a-1f445b9909f7
Cold Uutbound,Marketing,FeatureRequest,Medium,NoPromo,TRUE,APAC,0,dac8051c-9782-432f-9b7c-17728280f36f
Digital Ad, Sales,ContentPresentation,Medium,NoPromo,TRUE,APAC,1,a0db78d1-6d1c-4fc0-a94d-0119f608f73c
Referral,Marketing,FeatureRequest,Medium,NoPromo,FALSE,APAC,1,46a293d8-f277-4046-a0b4-d49cd22eca64
Referral,Engineering,NeedsCaseStudy,Large,NoPromo,FALSE,NAMER,1,c3716407-d41a-4f96-a997-1a8cd8f0da30
Referral,Finance,FeatureRequest,Small,UsedPromo,FALSE,NAMER,0,df17e8e5-f6f0-480c-8a86-05e7708a68ac
Event,Management,NeedsCaseStudy,Small,UsedPromo,TRUE,LATAM,1,ac582dfd-0c2b-4e35-80e6-c0c27d423d79
Digital Ad,Marketing,NeedsTraining,Medium,UsedPromo,FALSE,NAMER,1,17b034d6-87ac-4126-82cb-7eb8e252b3ab
Referral,HR,NeedsCaseStudy,Large,NoPromo,FALSE,EMEA,1,eb5ec0ca-f7b3-4240-bbe4-869f892dd531
Event,Operations,NeedsTraining,Large,NoPromo,FALSE,LATAM,1,17f11a44-aa88-4ae2-bc5d-9e637b1a0ed4
Event,HR,NeedsCaseStudy,Medium,UsedPromo,FALSE,NAMER,1,0ff0a4da-ec66-4abb-ad31-2493c6098753
Event,Engineering,NeedsCaseStudy,Large,NoPromo,TRUE,EMEA,1,2359af2f-5115-407e-afb0-1ea21e25c5a8
Digital Ad,Engineering,FeatureRequest,Medium,NoPromo,TRUE,APAC,1,544b674c-3f5e-4a8f-9e4f-577c23e4e302
Digital Ad,Management,NeedsTraining,Medium,UsedPromo,FALSE,LATAM,1,f062f014-0c6b-427d-a41f-2f6a85be9764
Event,Finance,NeedsCaseStudy,Small,UsedPromo,FALSE,APAC,1,2965f3ad-e611-4930-953a-e09883a12808
Cold Uutbound,Operations,ContentPresentation,Medium,UsedPromo,TRUE,EMEA,1,191bbb43-3c02-4405-8656-c20b8d31a9b1
Event,Finance,NeedsTraining,Medium,NoPromo,FALSE,APAC,0,947f1b16-3658-4021-9531-6a75f8011bd6
Organic, Sales,NeedsTraining,Small,NoPromo,TRUE,LATAM,1,afe73da6-e6c0-4d13-84ad-2acc70b25fb8
Referral,Management,FeatureRequest,Small,NoPromo,TRUE,LATAM,0,989b57d2-1905-4225-ad0f-8b77f84f2a60
Digital Ad,Finance,FeatureRequest,Large,NoPromo,FALSE,EMEA,0,ba29c25a-62b4-48b7-9294-300822b46735
Event,Marketing,NeedsTraining,Large,NoPromo,TRUE,LATAM,1,87031a39-f2fc-4fe0-88e0-3f57c087199d
Cold Uutbound,Operations,FeatureRequest,Small,UsedPromo,TRUE,APAC,1,d3f2f2e6-0710-45ed-985d-9d5e89149418
Cold Uutbound,Marketing,NeedsTraining,Large,UsedPromo,TRUE,EMEA,0,d69e1a59-33fd-4bd7-ad41-55f946099515
Event,Operations,FeatureRequest,Medium,NoPromo,TRUE,LATAM,0,bcf657ed-df83-4ae0-bb41-7b4631edc5bc
Organic,Finance,NeedsCaseStudy,Large,NoPromo,FALSE,LATAM,0,27a13dee-bb3c-43f4-b9f8-2eb9418853d7
Digital Ad,Operations,ContentPresentation,Large,NoPromo,TRUE,NAMER,0,6fbbdbb3-8e10-4d7e-b220-13f4a2cd0102
Organic,Engineering,NeedsTraining,Medium,NoPromo,FALSE,EMEA,0,d7bec95a-c750-486f-b66c-d4e15997e016
Digital Ad,Finance,ContentPresentation,Medium,UsedPromo,FALSE,APAC,1,d7076572-efaf-4304-ade9-547f99308636
Cold Uutbound,Engineering,NeedsCaseStudy,Large,NoPromo,TRUE,NAMER,0,269acb61-b176-4362-9396-bd4ad4348083
Cold Uutbound, Sales,NeedsTraining,Small,NoPromo,FALSE,LATAM,0,0fc99979-b295-4cc6-baa8-47468271719b
Event,Finance,ContentPresentation,Large,NoPromo,FALSE,NAMER,0,5a7c362d-cc8a-41a9-8af3-7dba4e208bb8
Referral, Sales,ContentPresentation,Large,UsedPromo,TRUE,LATAM,1,525a6c46-62d7-4a8a-ae29-a73edbc605bc
Organic,Engineering,FeatureRequest,Small,UsedPromo,FALSE,EMEA,1,9b032e53-0fad-4547-85cf-70ac7f36d814
Digital Ad,HR,FeatureRequest,Small,UsedPromo,TRUE,LATAM,0,19f07e97-17e8-48af-a84d-f7a765a23df1
Cold Uutbound, Sales,NeedsTraining,Large,NoPromo,TRUE,LATAM,0,12ed39ee-8f61-4eaf-8c85-5681364d644e
Cold Uutbound,Engineering,NeedsCaseStudy,Large,NoPromo,FALSE,NAMER,1,679d46c1-c700-4419-afec-0e2236ee0e86
Organic,Engineering,NeedsCaseStudy,Large,NoPromo,TRUE,EMEA,1,c86e3ebe-6c19-4963-ac6a-f2b358accbdc
Event,Marketing,NeedsTraining,Small,UsedPromo,TRUE,LATAM,1,d567dec1-49ee-4871-ab9b-3c1da7aa3f77
Referral,Engineering,NeedsTraining,Small,UsedPromo,TRUE,APAC,1,88ab1261-2aec-4163-bdea-be89c1966e9e
Referral,Finance,ContentPresentation,Large,UsedPromo,TRUE,EMEA,1,5323af5d-b3a9-46b6-9b72-75d7aefcab01
Event, Sales,NeedsTraining,Medium,UsedPromo,FALSE,NAMER,0,d7d08940-73f8-4a03-8868-4779e39a3125
Organic,Finance,FeatureRequest,Small,NoPromo,TRUE,EMEA,1,e1e32102-d3c1-45ad-8697-878329378e6b
Referral,Marketing,FeatureRequest,Medium,NoPromo,FALSE,LATAM,1,651ac005-e9b4-4084-b19c-d75ffd915efc
Event,Finance,NeedsTraining,Large,NoPromo,TRUE,APAC,1,63a55283-ad7c-4f9a-9fc5-98709c1ca4bd
Cold Uutbound,HR,NeedsTraining,Medium,UsedPromo,TRUE,NAMER,0,6e95c6d7-1b77-4f1a-bea8-69664b16581a
Referral,Engineering,NeedsTraining,Large,UsedPromo,TRUE,LATAM,0,dfa9ff06-cc3e-4053-b444-ad58b50688c4
Digital Ad,Engineering,ContentPresentation,Large,UsedPromo,FALSE,NAMER,1,86008dbb-95c6-4d30-8678-3397e37e9d8b
Referral,Engineering,NeedsCaseStudy,Large,NoPromo,TRUE,NAMER,0,9d99828f-46ea-4392-83b8-4727fe4a98d9
Digital Ad,Management,NeedsTraining,Small,UsedPromo,FALSE,EMEA,1,3f8578b6-64d4-4827-ab0b-ab844353931c
Referral,Marketing,ContentPresentation,Large,NoPromo,FALSE,EMEA,0,e1ec28c4-e525-4213-86c0-22fded4d074c
Event,Management,NeedsCaseStudy,Small,UsedPromo,TRUE,NAMER,1,c6043024-f10d-43aa-abb1-62e734500487
Organic,Operations,FeatureRequest,Medium,NoPromo,TRUE,EMEA,0,ab4d6bfa-81b6-4e21-9f61-ae58ce9ae309
Cold Uutbound,Operations,NeedsCaseStudy,Large,UsedPromo,FALSE,LATAM,0,4998c95b-efa2-46cf-9ee4-68d050f38124
Organic,HR,NeedsCaseStudy,Large,NoPromo,TRUE,APAC,0,c6235389-3656-4178-b91a-f906f73d3919
Referral,HR,NeedsCaseStudy,Small,UsedPromo,FALSE,NAMER,1,49f1ef38-d3af-4c9e-8d2c-2946c2b2b449
Referral,HR,ContentPresentation,Large,NoPromo,FALSE,NAMER,0,28972e66-9235-4415-9387-574ca5e2f97f
Cold Uutbound, Sales,FeatureRequest,Small,NoPromo,FALSE,APAC,0,9579c3f8-e0e2-43d5-b19a-4240e9322f10
Organic,Operations,ContentPresentation,Medium,UsedPromo,FALSE,EMEA,1,0b35a58b-d7dd-4bcc-8c3f-4177e48712ce
Cold Uutbound,Management,NeedsCaseStudy,Small,UsedPromo,TRUE,EMEA,1,c637c8fe-e1a4-4147-9c75-33f9adae14ff
Organic,Engineering,ContentPresentation,Medium,UsedPromo,FALSE,APAC,1,d5a14acc-c6ca-4017-bf18-46209c5689eb
Digital Ad,Finance,NeedsTraining,Small,UsedPromo,FALSE,APAC,1,8bc3e3a3-6354-4d99-b7d8-002ab05e253c
Event,HR,FeatureRequest,Small,UsedPromo,FALSE,LATAM,0,7c8f8f58-978a-4117-ad7d-78b7f9eb7295
Event,Engineering,NeedsTraining,Large,UsedPromo,FALSE,APAC,1,afd44c91-d364-4cff-9a05-b763086b2f64
Organic, Sales,ContentPresentation,Medium,NoPromo,TRUE,LATAM,0,1abdb565-4925-4dfa-9fb2-89070584a886
Digital Ad, Sales,FeatureRequest,Small,NoPromo,TRUE,LATAM,0,592cc5a0-2e7b-4e4e-9fac-2b3591f5a9e8
Organic, Sales,NeedsCaseStudy,Large,NoPromo,TRUE,LATAM,0,a0b61be8-1c6f-45e3-a33d-e3195b80f70e
Referral,Engineering,FeatureRequest,Small,UsedPromo,FALSE,LATAM,0,ec926e96-f1ea-4267-b0ea-79dda42a6cb9
Organic,Finance,FeatureRequest,Medium,NoPromo,TRUE,EMEA,0,1fedd7ad-8413-43d5-ae20-bd096e11c5b3
Event,Engineering,NeedsTraining,Small,NoPromo,TRUE,APAC,1,d79a4ef5-156d-465e-93c2-b69b3e5f8112
Organic,Management,FeatureRequest,Small,UsedPromo,FALSE,EMEA,1,845382d7-7146-493d-b160-a5bbd2bc7761
Organic,Operations,NeedsTraining,Medium,NoPromo,TRUE,APAC,0,127a9011-f282-4021-b55c-502cfc2584d8
Cold Uutbound,Operations,FeatureRequest,Small,UsedPromo,TRUE,EMEA,1,3915e708-483a-4320-a1d5-1114074a2162
Referral, Sales,ContentPresentation,Medium,UsedPromo,TRUE,APAC,1,1da90d6f-a91c-430d-83ff-778f7bdca484
